Date,Store Zip Code,Product,Payment Type,Units,Amount of Sale,Revenue Discount,COGS
11/10/2016,85001,Fun Fly,Mastercard,1,4.95,0,3.96
12/4/2016,85327,Fun Fly,Cash,4,19.8,0.1,14.8
10/13/2016,85001,Yanaki,Debit Visa,1,28.75,0,14.78
11/15/2016,85001,Fun Fly,Visa,1,4.95,0,4.11
10/22/2016,85224,Fun Fly,Cash,1,4.95,0,3.67
12/10/2016,85001,Fun Fly,Paypal,2,9.9,0,6.44
11/10/2016,85001,Yanaki,Visa,1,28.75,0,15.59
12/19/2016,85327,Bellen,Visa,1,24.95,0,14.4
11/17/2016,85001,Majestic Beaut,American Express,1,32.95,0,19.65
10/6/2016,85001,Aspen,Debit Visa,1,27.95,0,12.09
10/24/2016,85001,Fun Fly,Cash,2,9.9,0,5.44
10/7/2016,85001,Fun Fly,Cash,1,4.95,0,3.07
11/5/2016,85001,Yanaki,Visa,1,28.75,0,14.76
10/29/2016,85001,Quad,Paypal,6,263.76,0.1,135.84
12/15/2016,85001,Fun Fly,Visa,6,29.7,0.1,21.6
11/14/2016,85224,Majestic Beaut,American Express,1,32.95,0,20.43
12/11/2016,85224,Fun Fly,Debit Mastercard,1,4.95,0,4.12
11/16/2016,85327,Fun Fly,Debit Visa,1,4.95,0,4.17
11/6/2016,85001,Quad,American Express,1,43.96,0,22.09
10/27/2016,85327,Carlota,Visa,6,167.7,0.1,78.66
12/7/2016,85224,Fun Fly,Debit Mastercard,1,4.95,0,3.91
12/6/2016,85001,Fun Fly,Debit Mastercard,1,4.95,0,3.6
10/5/2016,85001,Fun Fly,Cash,1,4.95,0,3.66
11/16/2016,85001,Majestic Beaut,Visa,1,32.95,0,19.86
11/3/2016,85327,Yanaki,American Express,1,28.75,0,15.6
10/28/2016,85224,Yanaki,Visa,1,28.75,0,15.93
10/25/2016,85327,Carlota,In Store,1,27.95,0,13.47
12/20/2016,85001,Fun Fly,Debit Visa,1,4.95,0,2.82
11/5/2016,85224,Yanaki,Visa,1,28.75,0,14.77
11/27/2016,85001,Bellen,Cash,1,24.95,0,12.68
12/9/2016,85001,Quad,Cash,1,43.96,0,21.32
11/6/2016,85327,Majestic Beaut,In Store,1,32.95,0,19.28
10/2/2016,85224,Carlota,Debit Mastercard,1,27.95,0,12.38
12/19/2016,85001,Bellen,Debit Mastercard,1,24.95,0,14.34
10/6/2016,85327,Majestic Beaut,Visa,3,98.85,0,60.3
10/10/2016,85224,Carlota,Visa,1,27.95,0,12.6
10/3/2016,85224,Bellen,Debit Mastercard,1,24.95,0,13.25
12/2/2016,85224,Bellen,Cash,6,149.7,0.1,76.2
11/14/2016,85224,Fun Fly,Mastercard,1,4.95,0,3.17
10/28/2016,85327,Quad,Paypal,1,43.96,0,22.4
12/18/2016,85224,Yanaki,Visa,1,28.75,0,14.47
11/1/2016,85001,Fun Fly,Cash,1,4.95,0,2.69
12/4/2016,85001,Fun Fly,Mastercard,1,4.95,0,3.5
11/14/2016,85327,Quad,Debit Visa,6,263.76,0.1,136.74
10/21/2016,85001,Carlota,Visa,1,27.95,0,12.57
11/9/2016,85001,Fun Fly,Cash,1,4.95,0,3.83
10/23/2016,85001,Bellen,Debit Visa,1,24.95,0,13.77
12/18/2016,85001,Quad,Mastercard,1,43.96,0,22.47
11/7/2016,85327,Yanaki,Debit Mastercard,1,28.75,0,16.16
12/21/2016,85224,Quad,Mastercard,6,263.76,0.1,129.6
10/21/2016,85001,Fun Fly,Visa,1,4.95,0,3.05
10/20/2016,85001,Yanaki,Visa,2,57.5,0,29.4
10/21/2016,85001,Fun Fly,Visa,6,29.7,0.1,19.26
10/6/2016,85327,Quad,American Express,1,43.96,0,22.34
10/30/2016,85224,Crested Beaut,Visa,1,37.95,0,23.28
11/17/2016,85327,Carlota,Cash,2,55.9,0,24.7
10/9/2016,85327,Crested Beaut,Debit Mastercard,1,37.95,0,23.26
11/18/2016,85001,Fun Fly,Debit Visa,1,4.95,0,3.12
10/1/2016,85001,Fun Fly,Cash,1,4.95,0,3.66
12/23/2016,85001,Yanaki,Cash,1,28.75,0,14.99
11/18/2016,85327,Quad,American Express,1,43.96,0,22.21
