Date,Store Zip Code,Product,Payment Type,Units,Amount of Sale,Revenue Discount,COGS
12/2/2016,89419,Fun Fly,Debit Mastercard,1,4.95,0,2.51
11/5/2016,89115,Yanaki,American Express,1,28.75,0,13.94
10/31/2016,89419,Bellen,Cash,6,149.7,0.1,75.54
12/12/2016,89030,Yanaki,Debit Visa,1,28.75,0,15.81
11/8/2016,89419,Quad,Cash,1,43.96,0,21.82
10/24/2016,89115,Quad,Debit Visa,1,43.96,0,20.76
10/8/2016,89030,Fun Fly,Mastercard,1,4.95,0,3.04
12/9/2016,89030,Quad,Debit Mastercard,1,43.96,0,20.67
11/11/2016,89419,Aspen,Debit Mastercard,1,27.95,0,10.65
10/20/2016,89030,Fun Fly,Mastercard,1,4.95,0,2.55
10/24/2016,89419,Carlota,Paypal,1,27.95,0,11.37
12/6/2016,89115,Bellen,Debit Visa,1,24.95,0,14.39
10/9/2016,89419,Bellen,Visa,1,24.95,0,13.21
10/28/2016,89115,Yanaki,Paypal,1,28.75,0,14.5
11/2/2016,89030,Majestic Beaut,Paypal,1,32.95,0,19.17
10/18/2016,89115,Yanaki,Paypal,1,28.75,0,13.64
10/4/2016,89030,Quad,Mastercard,1,43.96,0,22.14
10/31/2016,89030,Aspen,American Express,12,335.4,0.1875,125.16
11/22/2016,89030,Fun Fly,Mastercard,1,4.95,0,3.06
12/20/2016,89030,Quad,Visa,1,43.96,0,20.88
11/15/2016,89419,Quad,Visa,12,527.52,0.1875,247.8
10/17/2016,89115,Yanaki,Visa,1,28.75,0,15.34
11/21/2016,89030,Carlota,Debit Mastercard,6,167.7,0.1,67.26
12/2/2016,89115,Fun Fly,Paypal,1,4.95,0,1.69
12/20/2016,89030,Bellen,American Express,1,24.95,0,12.29
12/3/2016,89030,Yanaki,Cash,12,345,0.1875,176.52
10/1/2016,89030,Bellen,American Express,1,24.95,0,14.25
10/13/2016,89419,Bellen,Visa,2,49.9,0,25.16
11/21/2016,89115,Quad,Debit Visa,1,43.96,0,22.64
11/26/2016,89115,Fun Fly,Debit Mastercard,6,29.7,0.1,23.28
12/18/2016,89115,Aspen,Cash,1,27.95,0,11.25
10/7/2016,89030,Aspen,Debit Visa,12,335.4,0.1875,129.12
12/19/2016,89115,Bellen,Cash,1,24.95,0,13.14
10/10/2016,89419,Fun Fly,Visa,1,4.95,0,2.75
10/26/2016,89030,Aspen,Debit Visa,2,55.9,0,25.42
10/21/2016,89115,Yanaki,Debit Visa,1,28.75,0,13.83
11/1/2016,89030,Fun Fly,Visa,12,59.4,0.1875,23.64
11/13/2016,89115,Fun Fly,Cash,1,4.95,0,2.85
10/7/2016,89030,Fun Fly,Cash,12,59.4,0.1875,24
11/19/2016,89030,Bellen,Debit Visa,1,24.95,0,12.34
12/20/2016,89030,Quad,Visa,1,43.96,0,20.46
10/26/2016,89030,Carlota,Debit Mastercard,1,27.95,0,11.1
11/2/2016,89115,Carlota,Paypal,1,27.95,0,11.07
10/31/2016,89419,Aspen,Debit Visa,6,167.7,0.1,73.02
10/19/2016,89419,Majestic Beaut,Debit Mastercard,1,32.95,0,18.87
10/24/2016,89115,Quad,Mastercard,1,43.96,0,21.5
12/11/2016,89030,Bellen,Visa,1,24.95,0,13.14
12/20/2016,89030,Fun Fly,Debit Visa,12,59.4,0.1875,28.56
11/26/2016,89115,Carlota,Debit Visa,1,27.95,0,10.87
10/28/2016,89115,Aspen,Debit Mastercard,1,27.95,0,12.77
11/29/2016,89419,Aspen,Debit Visa,1,27.95,0,10.66
10/22/2016,89419,Quad,Debit Visa,12,527.52,0.1875,258.6
11/30/2016,89115,Fun Fly,Debit Visa,1,4.95,0,2.04
11/10/2016,89030,Fun Fly,Paypal,12,59.4,0.1875,33.6
12/1/2016,89115,Quad,Paypal,6,263.76,0.1,129.12
10/6/2016,89419,Fun Fly,Paypal,1,4.95,0,2.02
10/15/2016,89030,Fun Fly,Debit Mastercard,1,4.95,0,1.9
12/12/2016,89115,Bellen,Debit Mastercard,1,24.95,0,13.16
11/15/2016,89030,Fun Fly,Mastercard,1,4.95,0,2.78
11/28/2016,89030,Fun Fly,Cash,2,9.9,0,8.18
10/27/2016,89419,Bellen,Cash,6,149.7,0.1,86.58
12/15/2016,89419,Carlota,Mastercard,12,335.4,0.1875,132
11/17/2016,89419,Quad,In Store,4,175.84,0.1,90.76
11/7/2016,89419,Fun Fly,Debit Mastercard,1,4.95,0,2.72
12/14/2016,89115,Aspen,Mastercard,1,27.95,0,11.32
12/7/2016,89115,Fun Fly,Visa,1,4.95,0,1.48
12/4/2016,89115,Quad,Debit Mastercard,3,131.88,0,61.8
12/19/2016,89115,Yanaki,Visa,2,57.5,0,30.54
10/31/2016,89115,Yanaki,Debit Visa,1,28.75,0,14.22
11/9/2016,89115,Aspen,Debit Mastercard,1,27.95,0,11.67
10/17/2016,89419,Bellen,Paypal,1,24.95,0,11.77
11/6/2016,89115,Yanaki,Debit Mastercard,1,28.75,0,14.94
12/2/2016,89030,Bellen,Debit Visa,1,24.95,0,12.52
10/27/2016,89115,Yanaki,Debit Visa,1,28.75,0,15.13
11/8/2016,89030,Bellen,Debit Visa,1,24.95,0,13.26
12/4/2016,89115,Fun Fly,Visa,1,4.95,0,3.31
11/15/2016,89419,Carlota,American Express,1,27.95,0,11.21
12/15/2016,89115,Yanaki,Debit Mastercard,4,115,0.1,62.4
11/17/2016,89030,Yanaki,Paypal,1,28.75,0,14.34
10/24/2016,89030,Carlota,Debit Mastercard,1,27.95,0,10.87
12/6/2016,89030,Fun Fly,Cash,1,4.95,0,2.28
10/21/2016,89419,Aspen,Paypal,1,27.95,0,10.66
10/4/2016,89115,Yanaki,Mastercard,1,28.75,0,14.88
10/21/2016,89115,Quad,Visa,1,43.96,0,20.84
11/6/2016,89115,Quad,Debit Mastercard,1,43.96,0,21.98
11/21/2016,89419,Majestic Beaut,Debit Mastercard,12,395.4,0.1875,244.08
11/3/2016,89030,Aspen,Mastercard,1,27.95,0,12.08
11/8/2016,89030,Fun Fly,Debit Visa,1,4.95,0,2.1
10/12/2016,89419,Aspen,Debit Visa,1,27.95,0,12.75
10/7/2016,89419,Quad,Mastercard,1,43.96,0,21.62
12/14/2016,89030,Fun Fly,Debit Visa,6,29.7,0.1,18.3
11/9/2016,89115,Yanaki,Visa,3,86.25,0,41.04
