Date,Store Zip Code,Product,Payment Type,Units,Amount of Sale,Revenue Discount,COGS
11/24/2016,87001,Majestic Beaut,Debit Visa,1,33.95,0,17.1
10/29/2016,87103,Carlota,Debit Visa,1,28.95,0,19.24
12/8/2016,87001,Carlota,Debit Visa,1,28.95,0,19.09
10/25/2016,87103,Bellen,Debit Visa,1,25.95,0,20.81
10/11/2016,87001,Quad,Visa,6,269.76,0.125,169.68
10/15/2016,87941,Crested Beaut,Paypal,3,116.85,0,75.66
10/22/2016,87506,Carlota,Mastercard,4,115.8,0.1,58.56
12/20/2016,87001,Quad,Visa,1,44.96,0,23.1
10/22/2016,87037,Carlota,Mastercard,1,28.95,0,12.07
12/1/2016,87315,Carlota,Mastercard,6,173.7,0.125,84.36
10/17/2016,87315,Quad,Paypal,1,44.96,0,27.16
12/23/2016,87941,Fun Fly,Visa,1,4.95,0,9.98
10/18/2016,87001,Carlota,American Express,1,28.95,0,15.08
10/26/2016,87506,Yanaki,Mastercard,1,29.75,0,13.39
11/14/2016,87037,Crested Beaut,Mastercard,8,311.6,0.125,141.04
12/7/2016,87001,Carlota,Visa,1,28.95,0,14.74
12/15/2016,87001,Carlota,Debit Visa,1,28.95,0,18.32
12/4/2016,87941,Majestic Beaut,Visa,1,33.95,0,17.26
10/6/2016,87001,Majestic Beaut,Visa,1,33.95,0,21.36
10/21/2016,87103,Yanaki,Visa,1,29.75,0,18.51
11/5/2016,87315,Crested Beaut,Debit Mastercard,1,38.95,0,21.54
10/10/2016,87103,Bellen,Visa,1,25.95,0,21.46
11/30/2016,87001,Quad,Mastercard,6,269.76,0.125,131.22
11/15/2016,87315,Yanaki,Cash,1,29.75,0,22.2
12/9/2016,87001,Majestic Beaut,Visa,12,407.4,0.215,280.2
10/21/2016,87001,Quad,Visa,12,539.52,0.215,316.44
10/9/2016,87001,Crested Beaut,Debit Visa,6,233.7,0.125,149.16
12/23/2016,87103,Crested Beaut,Mastercard,1,38.95,0,22.74
10/21/2016,87506,Majestic Beaut,Mastercard,6,203.7,0.125,102.24
12/23/2016,87103,Fun Fly,Mastercard,1,4.95,0,5.69
12/19/2016,87001,Quad,Debit Mastercard,1,44.96,0,22.24
10/28/2016,87941,Bellen,Debit Mastercard,1,25.95,0,16.79
11/20/2016,87001,Majestic Beaut,Visa,1,33.95,0,24.12
11/14/2016,87941,Quad,Visa,6,269.76,0.125,138.36
11/21/2016,87103,Majestic Beaut,Debit Visa,1,33.95,0,22.31
10/17/2016,87941,Crested Beaut,Debit Mastercard,1,38.95,0,24.18
10/17/2016,87001,Bellen,Visa,6,155.7,0.125,100.14
12/5/2016,87001,Carlota,Cash,6,173.7,0.125,79.44
12/6/2016,87001,Yanaki,Mastercard,1,29.75,0,15.31
11/15/2016,87506,Bellen,Visa,1,25.95,0,14.99
11/9/2016,87037,Carlota,Visa,2,57.9,0,32.94
12/23/2016,87506,Majestic Beaut,Debit Visa,1,33.95,0,22.17
12/10/2016,87001,Carlota,Paypal,6,173.7,0.125,70.86
12/23/2016,87001,Majestic Beaut,Debit Visa,4,135.8,0.1,76.56
12/13/2016,87941,Fun Fly,American Express,1,4.95,0,10.82
12/13/2016,87001,Quad,Debit Visa,1,44.96,0,22.27
12/9/2016,87001,Quad,Mastercard,1,44.96,0,29.7
11/10/2016,87001,Fun Fly,Debit Visa,1,4.95,0,3.14
11/4/2016,87941,Quad,Visa,1,44.96,0,29.17
10/2/2016,87001,Carlota,Debit Mastercard,12,347.4,0.215,187.08
11/26/2016,87001,Carlota,Visa,1,28.95,0,11.86
11/20/2016,87001,Aspen,Paypal,1,28.95,0,15.77
10/6/2016,87001,Majestic Beaut,Visa,1,33.95,0,20.26
12/9/2016,87001,Carlota,In Store,1,28.95,0,16.59
10/20/2016,87506,Majestic Beaut,Debit Visa,1,33.95,0,19.2
12/20/2016,87315,Majestic Beaut,Debit Visa,1,33.95,0,18.58
10/28/2016,87103,Yanaki,Visa,1,29.75,0,22.78
10/18/2016,87037,Bellen,Debit Visa,1,25.95,0,11.95
11/29/2016,87941,Carlota,Debit Visa,1,28.95,0,11.09
10/9/2016,87001,Crested Beaut,American Express,1,38.95,0,18.85
11/8/2016,87315,Yanaki,Paypal,6,178.5,0.125,119.16
10/12/2016,87315,Carlota,Visa,1,28.95,0,10.7
