Date,Store Zip Code,Product,Payment Type,Units,Amount of Sale,Revenue Discount,COGS
12/11/2016,97204,Bellen,Visa,1,24.95,0,13.54
12/20/2016,97222,Yanaki,Paypal,1,28.75,0,14.82
10/21/2016,97440,Yanaki,Visa,1,28.75,0,15.54
11/13/2016,97204,Quad,Cash,1,43.96,0,22.93
11/25/2016,97283,Yanaki,Paypal,9,258.75,0.1,127.71
12/7/2016,97440,Quad,Visa,1,43.96,0,21.46
11/4/2016,97283,Bellen,Mastercard,1,24.95,0,13.14
11/5/2016,97283,Fun Fly,Debit Mastercard,12,59.4,0.1875,39.24
10/30/2016,97204,Quad,Cash,1,43.96,0,21.4
11/15/2016,97204,Quad,Paypal,7,307.72,0.1,160.86
10/29/2016,97440,Carlota,Cash,6,167.7,0.1,77.52
10/1/2016,97222,Quad,American Express,6,263.76,0.1,133.56
11/7/2016,97204,Bellen,Mastercard,6,149.7,0.1,82.62
11/17/2016,97204,Bellen,Visa,1,24.95,0,15.32
10/28/2016,97204,Carlota,Debit Mastercard,1,27.95,0,13.69
10/17/2016,97204,Yanaki,In Store,1,28.75,0,14.87
11/1/2016,97440,Quad,Cash,1,43.96,0,22.14
10/1/2016,97440,Carlota,Visa,12,335.4,0.1875,149.04
10/6/2016,97440,Carlota,Cash,12,335.4,0.1875,167.04
10/26/2016,97204,Yanaki,Cash,4,115,0.1,61.72
10/4/2016,97283,Quad,Cash,1,43.96,0,22.79
11/21/2016,97229,Quad,Cash,1,43.96,0,22.58
11/7/2016,97222,Bellen,Debit Visa,6,149.7,0.1,86.52
11/20/2016,97229,Quad,Debit Visa,12,527.52,0.1875,256.68
12/20/2016,97283,Bellen,Mastercard,4,99.8,0.1,51.4
11/28/2016,97204,Bellen,Debit Mastercard,1,24.95,0,14.34
12/6/2016,97204,Fun Fly,Debit Visa,1,4.95,0,2.97
10/1/2016,97204,Fun Fly,Debit Visa,9,44.55,0.1,26.55
10/7/2016,97401,Quad,Debit Visa,2,87.92,0,43.94
11/1/2016,97283,Bellen,American Express,1,24.95,0,13.97
12/16/2016,97283,Quad,Debit Visa,12,527.52,0.1875,273.48
11/6/2016,97440,Quad,Debit Visa,1,43.96,0,22.01
10/4/2016,97440,Fun Fly,Debit Mastercard,12,59.4,0.1875,56.88
10/6/2016,97401,Quad,Debit Visa,1,43.96,0,21.97
11/17/2016,97204,Quad,Debit Mastercard,1,43.96,0,23.62
12/2/2016,97401,Aspen,Cash,10,279.5,0.1,134.7
12/23/2016,97401,Quad,Visa,6,263.76,0.1,137.1
10/24/2016,97204,Carlota,Paypal,12,335.4,0.1875,161.16
10/9/2016,97229,Fun Fly,Paypal,1,4.95,0,3.41
10/9/2016,97440,Quad,Paypal,1,43.96,0,21.53
12/3/2016,97440,Bellen,In Store,6,149.7,0.1,78.78
12/10/2016,97204,Fun Fly,Visa,1,4.95,0,2.4
10/1/2016,97204,Yanaki,Debit Visa,1,28.75,0,15.25
11/12/2016,97204,Quad,Debit Visa,6,263.76,0.1,135.54
10/30/2016,97401,Carlota,In Store,1,27.95,0,11.93
11/13/2016,97222,Quad,Debit Visa,1,43.96,0,21.58
10/12/2016,97283,Quad,Mastercard,1,43.96,0,23.28
12/2/2016,97204,Carlota,Debit Visa,1,27.95,0,14.06
10/9/2016,97222,Bellen,American Express,12,299.4,0.1875,153.72
11/16/2016,97204,Yanaki,Cash,1,28.75,0,16.69
11/12/2016,97229,Yanaki,Debit Visa,6,172.5,0.1,96.24
10/30/2016,97204,Quad,In Store,6,263.76,0.1,141
11/29/2016,97440,Quad,Debit Visa,12,527.52,0.1875,275.88
10/1/2016,97401,Carlota,Debit Mastercard,1,27.95,0,11.49
10/19/2016,97204,Quad,Debit Visa,1,43.96,0,22.46
12/3/2016,97204,Quad,In Store,2,87.92,0,46.56
10/2/2016,97440,Majestic Beaut,Cash,1,32.95,0,21.82
10/25/2016,97222,Quad,Cash,1,43.96,0,21.55
10/16/2016,97283,Quad,Paypal,1,43.96,0,24.02
10/17/2016,97283,Quad,Cash,1,43.96,0,22.47
10/5/2016,97283,Bellen,Debit Mastercard,1,24.95,0,14.29
11/23/2016,97283,Aspen,Cash,12,335.4,0.1875,137.88
11/26/2016,97440,Carlota,In Store,1,27.95,0,13.62
10/5/2016,97204,Carlota,Cash,6,167.7,0.1,82.56
12/8/2016,97204,Bellen,Cash,12,299.4,0.1875,157.92
11/30/2016,97222,Majestic Beaut,Cash,1,32.95,0,20.15
11/7/2016,97283,Bellen,Debit Visa,1,24.95,0,14.11
12/21/2016,97440,Bellen,Visa,1,24.95,0,13.05
11/13/2016,97440,Carlota,Cash,2,55.9,0,25.28
11/13/2016,97401,Quad,Mastercard,1,43.96,0,23.84
12/5/2016,97440,Quad,Cash,1,43.96,0,21.87
11/12/2016,97204,Quad,Cash,1,43.96,0,23.85
11/3/2016,97229,Yanaki,Visa,12,345,0.1875,178.44
10/26/2016,97283,Carlota,Paypal,12,335.4,0.1875,158.4
10/9/2016,97204,Yanaki,Cash,1,28.75,0,14.28
10/7/2016,97204,Yanaki,Paypal,1,28.75,0,15.54
12/16/2016,97440,Quad,Visa,1,43.96,0,22.1
11/24/2016,97204,Majestic Beaut,Debit Mastercard,1,32.95,0,20.37
11/20/2016,97440,Bellen,Debit Visa,1,24.95,0,13.31
12/16/2016,97204,Carlota,Debit Visa,12,335.4,0.1875,138.36
11/8/2016,97229,Quad,Cash,1,43.96,0,22.04
11/5/2016,97222,Yanaki,Cash,1,28.75,0,14.42
10/20/2016,97222,Fun Fly,Cash,1,4.95,0,3.94
11/8/2016,97204,Carlota,Cash,9,251.55,0.1,106.02
10/29/2016,97440,Carlota,Debit Mastercard,1,27.95,0,11.47
11/19/2016,97229,Carlota,Paypal,1,27.95,0,12.81
11/28/2016,97401,Fun Fly,Mastercard,1,4.95,0,4.14
10/1/2016,97222,Quad,American Express,1,43.96,0,22.1
12/2/2016,97204,Quad,Visa,10,439.6,0.1,225.9
10/16/2016,97204,Majestic Beaut,American Express,8,263.6,0.1,156.8
10/14/2016,97401,Fun Fly,Debit Mastercard,1,4.95,0,4.72
11/16/2016,97440,Yanaki,Paypal,6,172.5,0.1,91.5
11/22/2016,97204,Bellen,In Store,1,24.95,0,13.69
10/7/2016,97204,Bellen,Visa,1,24.95,0,14.75
11/30/2016,97401,Fun Fly,Visa,6,29.7,0.1,24.48
12/10/2016,97283,Carlota,Paypal,1,27.95,0,13.53
12/6/2016,97229,Quad,Paypal,1,43.96,0,23.44
10/12/2016,97440,Bellen,Cash,2,49.9,0,27.04
12/20/2016,97222,Majestic Beaut,Paypal,1,32.95,0,21.21
10/13/2016,97401,Carlota,Paypal,1,27.95,0,12.92
12/12/2016,97204,Quad,Visa,6,263.76,0.1,137.04
10/11/2016,97204,Quad,Paypal,12,527.52,0.1875,287.64
12/17/2016,97283,Quad,Cash,1,43.96,0,22.56
12/18/2016,97440,Quad,Paypal,1,43.96,0,22.13
10/1/2016,97440,Carlota,Visa,1,27.95,0,11.52
10/12/2016,97222,Quad,Visa,6,263.76,0.1,143.46
11/25/2016,97222,Yanaki,Paypal,1,28.75,0,14.64
